description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
United States : other renewables,thousand megawatthours,ELEC.GEN.AOR-US-99.A,70769,79109,79487,83067,87329,96525,105238,126101,144279,167173,193981,218333,253508,279213,295161,341633,386250,414292,440799,497738,563682,646025,650239,733567,821918
United States : wind,thousand megawatthours,ELEC.GEN.WND-US-99.A,6737,10354,11187,14144,17811,26589,34450,55363,73886,94652,120177,140822,167840,181655,190719,226993,254303,272667,295882,337938,378197,434297,421141,451904,464391
United States : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-US-99.A,543,555,534,575,550,508,612,864,891,1212,1818,4327,9036,17691,24893,36054,53287,63825,71937,89199,115258,143792,165530,219834,295671
United States : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-US-99.A,--,--,2,6,16,15,16,76,157,423,1012,3451,8121,15250,21666,32670,50018,60234,68719,86066,112335,140793,162683,216715,292817
United States : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-US-99.A,--,--,532,569,535,493,596,788,735,789,806,876,915,2441,3227,3384,3269,3592,3218,3133,2924,2999,2847,3118,2855
United States : geothermal,thousand megawatthours,ELEC.GEN.GEO-US-99.A,13741,14491,14424,14811,14692,14568,14637,14840,15009,15219,15316,15562,15775,15877,15918,15826,15927,15967,15473,15890,15975,16087,16367,15407,15669
United States : biomass,thousand megawatthours,ELEC.GEN.BIO-US-99.A,49748,53709,53341,53537,54277,54861,55539,55034,54493,56089,56671,57622,60858,63989,63632,62760,62733,61832,57507,54712,54252,51849,47199,46422,46187
United States : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-US-99.A,35200,38665,37529,38117,38856,38762,39014,37300,36050,37172,37449,37799,40028,42340,41929,40947,41124,40936,38543,36219,36463,35466,31615,31564,31809
United States : other biomass,thousand megawatthours,ELEC.GEN.WAS-US-99.A,14548,15044,15812,15421,15420,16099,16525,17734,18443,18917,19222,19823,20830,21650,21703,21813,21610,20896,18964,18493,17790,16383,15585,14858,14378
United States : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-US-99.A,-8823,-8743,-8535,-8488,-6558,-6558,-6896,-6288,-4627,-5501,-6421,-4950,-4681,-6174,-5091,-6686,-6495,-5905,-5261,-5321,-5112,-6028,-5990,-5852,-5320
United States : other,thousand megawatthours,ELEC.GEN.OTH-US-99.A,11906,13527,14045,14232,12821,12974,12231,11804,11928,12855,14154,13787,13588,13393,13955,13689,13008,12973,13331,12855,12140,11114,9957,8170,6654
