description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Illinois : geothermal,thousand megawatthours,ELEC.GEN.GEO-IL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Illinois : biomass,thousand megawatthours,ELEC.GEN.BIO-IL-99.A,679,724,801,744,642,594,620,698,710,670,638,615,608,566,527,467,474,426,412,391,364,283,242,224,252
Illinois : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-IL-99.A,--,--,--,--,--,--,--,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois : other biomass,thousand megawatthours,ELEC.GEN.WAS-IL-99.A,679,724,801,744,642,594,620,697,710,670,638,615,608,566,527,467,474,426,412,391,364,283,242,224,252
Illinois : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-IL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Illinois : other,thousand megawatthours,ELEC.GEN.OTH-IL-99.A,50,122,156,132,40,38,21,49,62,300,299,299,285,282,248,274,254,227,239,249,246,263,256,233,214
Illinois : all solar,thousand megawatthours,ELEC.GEN.TSN-IL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,71,76,86,111,161,251,506,1438,2795,3447,4787,8750
Illinois : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-IL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,21,27,37,58,95,189,427,925,1247,1536,1730,2256
Illinois : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-IL-99.A,--,--,--,--,--,--,--,--,0,14,14,31,52,50,49,49,52,66,62,79,513,1548,1911,3057,6494
Illinois : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IL-99.A,--,--,--,--,--,--,--,--,0,14,14,15,52,50,49,49,52,66,62,79,513,1548,1911,3057,6494
Illinois : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IL-99.A,--,--,--,--,--,--,--,--,--,--,--,16,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-IN-99.A,122570,125608,124888,127770,130372,130490,130638,129510,116670,125181,122131,114696,110403,115395,104019,101759,98930,113460,102505,90073,94165,98055,90047,97013,109763
Indiana : coal,thousand megawatthours,ELEC.GEN.COW-IN-99.A,116067,117660,117756,120671,122833,123645,122803,122036,108312,112328,104153,92461,92672,97549,78231,72533,72385,77455,60762,47773,54448,51384,40932,40526,49314
Indiana : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-IN-99.A,324,313,224,171,162,148,170,178,147,155,172,114,139,164,159,113,125,131,127,113,128,114,97,120,177
Indiana : petroleum coke,thousand megawatthours,ELEC.GEN.PC-IN-99.A,167,304,231,254,99,0,0,0,10,0,1161,831,1433,1199,1179,497,0,0,0,0,0,0,0,0,0
Indiana : natural gas,thousand megawatthours,ELEC.GEN.NG-IN-99.A,2332,3782,3049,2438,3615,2682,4012,3636,3830,6475,10064,14471,9032,9572,16263,19996,17976,26817,32042,32085,27600,32121,34849,39860,39778
Indiana : other gases,thousand megawatthours,ELEC.GEN.OOG-IN-99.A,2979,3006,2592,3136,2722,2870,2591,2356,1820,2144,2183,2491,2410,2161,2269,2272,1991,2326,1984,2240,2254,2145,2272,2114,2536
Indiana : nuclear,thousand megawatthours,ELEC.GEN.NUC-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-IN-99.A,571,411,424,444,438,490,450,437,503,454,409,434,387,371,381,426,306,223,256,271,387,371,464,375,352
Indiana : other renewables,thousand megawatthours,ELEC.GEN.AOR-IN-99.A,115,116,119,137,68,220,231,511,1706,3246,3621,3546,3888,3989,5118,5558,5840,6188,7001,7094,8859,11453,10953,13587,17215
Indiana : wind,thousand megawatthours,ELEC.GEN.WND-IN-99.A,--,--,--,--,--,--,--,238,1403,2934,3285,3210,3481,3496,4515,4899,5089,5437,6216,6288,7857,9985,8844,10312,10309
Indiana : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,NM,31,102,156,226,278,291,323,359,573,1082,1854,3091,6730
Indiana : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,NM,31,102,156,226,278,291,323,359,573,1082,1854,3091,6730
Indiana : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana : geothermal,thousand megawatthours,ELEC.GEN.GEO-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana : biomass,thousand megawatthours,ELEC.GEN.BIO-IN-99.A,115,116,119,137,68,220,231,273,303,312,336,336,376,391,446,433,473,460,463,448,429,386,254,183,176
Indiana : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--
Indiana : other biomass,thousand megawatthours,ELEC.GEN.WAS-IN-99.A,115,116,119,137,68,220,231,273,303,312,336,336,376,391,446,433,473,460,463,448,429,386,254,183,176
Indiana : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana : other,thousand megawatthours,ELEC.GEN.OTH-IN-99.A,16,16,492,519,434,435,381,356,343,380,369,347,442,391,420,363,306,321,333,498,489,467,482,432,391
Indiana : all solar,thousand megawatthours,ELEC.GEN.TSN-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,111,168,243,313,389,450,526,791,1363,2203,3478,7155
Indiana : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,9,12,17,35,98,128,167,218,281,349,387,424
Indiana : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,NM,31,102,156,226,278,291,323,359,573,1082,1854,3091,6730
Indiana : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,NM,31,102,156,226,278,291,323,359,573,1082,1854,3091,6730
Indiana : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michigan,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-MI-99.A,111846,117889,111347,118487,121620,112557,119310,114990,101203,111551,109170,108158,105418,106817,113008,112122,112314,115837,116701,106625,115513,117497,120657,124200,127934
Michigan : coal,thousand megawatthours,ELEC.GEN.COW-MI-99.A,68263,66700,67777,68606,70323,67780,70811,69855,66848,65604,58948,53136,56291,52900,52884,40527,42021,42331,37341,27961,37054,34482,23555,25738,29308
Michigan : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-MI-99.A,749,1069,878,742,803,311,457,286,216,190,179,138,130,140,109,120,110,117,94,87,117,106,97,87,91
Michigan : petroleum coke,thousand megawatthours,ELEC.GEN.PC-MI-99.A,1,35,186,155,74,91,242,171,183,193,163,187,403,911,718,699,1007,1096,822,847,1032,1449,1257,1406,1642
Michigan : natural gas,thousand megawatthours,ELEC.GEN.NG-MI-99.A,13174,15853,11375,14548,13764,11410,13141,9602,8420,12249,12982,21748,12341,12523,20045,29295,26131,30987,34430,36434,30513,41184,54068,55734,53148
Michigan : other gases,thousand megawatthours,ELEC.GEN.OOG-MI-99.A,6,10,2,599,372,412,282,264,203,299,269,315,957,1120,1213,1615,1652,1598,1697,969,1202,1330,1377,946,352
Michigan : nuclear,thousand megawatthours,ELEC.GEN.NUC-MI-99.A,26711,31087,27954,30562,32872,29066,31517,31484,21851,29625,32889,28020,28921,31246,29334,31552,32381,30479,32909,30333,34338,26013,27996,26281,27534
Michigan : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-MI-99.A,1562,1669,1386,1540,1462,1520,1270,1364,1372,1251,1357,1207,1419,1600,1499,1564,1679,1569,1650,1713,1340,1386,1395,1255,1336
Michigan : other renewables,thousand megawatthours,ELEC.GEN.AOR-MI-99.A,2362,2220,2498,2558,2494,2443,2417,2591,2623,2832,2962,3785,5514,6674,7283,7200,7749,8106,8283,8992,10489,12268,11584,13635,15073
Michigan : wind,thousand megawatthours,ELEC.GEN.WND-MI-99.A,0,0,3,2,2,2,3,141,300,360,456,1132,2800,3868,4797,4696,5191,5457,5826,6735,7697,9151,8292,9839,10116
Michigan : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,9,63,118,143,155,424,859,1269,1859,2860
Michigan : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,9,63,118,143,155,424,859,1269,1859,2860
Michigan : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michigan : geothermal,thousand megawatthours,ELEC.GEN.GEO-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michigan : biomass,thousand megawatthours,ELEC.GEN.BIO-MI-99.A,2361,2220,2495,2557,2492,2440,2414,2450,2323,2472,2506,2654,2715,2806,2485,2495,2494,2531,2314,2102,2369,2258,2023,1937,2097
Michigan : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-MI-99.A,1700,1475,1768,1867,1776,1704,1692,1710,1489,1670,1679,1698,1727,1751,1447,1522,1508,1574,1399,1119,1461,1474,1269,1270,1430
Michigan : other biomass,thousand megawatthours,ELEC.GEN.WAS-MI-99.A,661,745,727,690,717,737,722,740,834,802,827,956,988,1055,1038,973,986,957,915,982,907,784,754,667,667
Michigan : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-MI-99.A,-1127,-1036,-1017,-1113,-1106,-1039,-1129,-916,-857,-1023,-945,-773,-871,-701,-481,-752,-675,-698,-696,-845,-715,-868,-810,-976,-638
Michigan : other,thousand megawatthours,ELEC.GEN.OTH-MI-99.A,146,281,309,291,562,563,303,286,344,332,363,395,312,404,405,302,260,252,173,135,143,147,138,94,88
Michigan : all solar,thousand megawatthours,ELEC.GEN.TSN-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,35,39,64,129,197,253,310,616,1105,1566,2205,3275
Michigan : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,35,38,55,65,79,110,155,192,246,298,346,415
Michigan : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,9,63,118,143,155,424,859,1269,1859,2860
Michigan : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,9,63,118,143,155,424,859,1269,1859,2860
Michigan : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-OH-99.A,142262,147069,146638,148346,156976,155434,155156,153412,136090,143598,135586,129746,137284,134503,123079,119886,120814,127937,121550,122538,125948,135810,133223,142747,147423
Ohio : coal,thousand megawatthours,ELEC.GEN.COW-OH-99.A,124213,132953,134769,128157,136826,133400,133131,130694,113712,117828,105337,85589,94564,89879,71710,68775,68344,58727,46765,45009,45662,42993,31436,30080,35857
Ohio : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-OH-99.A,417,389,410,353,360,308,313,290,262,298,313,258,227,307,220,217,206,219,164,117,154,372,114,141,168
Ohio : petroleum coke,thousand megawatthours,ELEC.GEN.PC-OH-99.A,--,--,--,1035,1030,1047,835,1147,1049,1144,1075,1023,1159,939,1097,965,1035,1097,680,1057,971,900,935,1002,1134
Ohio : natural gas,thousand megawatthours,ELEC.GEN.NG-OH-99.A,924,1767,1794,1391,2696,2379,3975,2484,4650,7128,12338,22665,21694,23663,29220,29906,30060,45967,52874,53927,56381,68865,78705,85137,80646
Ohio : other gases,thousand megawatthours,ELEC.GEN.OOG-OH-99.A,302,207,213,302,298,360,289,261,37,254,304,959,953,929,945,721,786,787,776,704,813,738,787,856,881
Ohio : nuclear,thousand megawatthours,ELEC.GEN.NUC-OH-99.A,15464,10865,8475,15950,14803,16847,15764,17514,15206,15805,14890,17087,16121,16284,17377,16817,17688,18315,17011,18219,17483,16827,16207,17947,17142
Ohio : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-OH-99.A,511,488,511,730,516,632,410,386,528,429,384,414,549,478,457,500,277,244,403,374,578,507,507,468,433
Ohio : other renewables,thousand megawatthours,ELEC.GEN.AOR-OH-99.A,431,151,441,428,446,459,435,623,633,700,936,1739,2009,2026,2058,2033,2421,2576,2870,3127,3902,4605,4526,7115,11161
Ohio : wind,thousand megawatthours,ELEC.GEN.WND-OH-99.A,--,--,--,--,13,14,15,15,14,13,198,985,1146,1153,1203,1245,1589,1750,2043,2289,2587,3154,2819,2822,2975
Ohio : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-OH-99.A,--,--,--,--,--,--,--,--,--,13,15,37,46,54,56,66,105,119,142,164,673,921,1382,4002,7906
Ohio : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-OH-99.A,--,--,--,--,--,--,--,--,--,13,15,37,46,54,56,66,105,119,142,164,673,921,1382,4002,7906
Ohio : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-OH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio : geothermal,thousand megawatthours,ELEC.GEN.GEO-OH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio : biomass,thousand megawatthours,ELEC.GEN.BIO-OH-99.A,431,151,441,428,432,444,420,608,619,675,722,717,817,818,799,722,727,707,685,674,643,530,324,292,280
Ohio : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-OH-99.A,403,126,407,398,406,410,399,418,410,399,390,351,343,348,326,272,258,234,241,246,236,222,167,151,142
Ohio : other biomass,thousand megawatthours,ELEC.GEN.WAS-OH-99.A,28,25,33,30,27,34,21,190,210,276,332,366,474,471,473,450,469,473,444,428,407,309,157,141,138
Ohio : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-OH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio : other,thousand megawatthours,ELEC.GEN.OTH-OH-99.A,--,249,26,0,2,3,3,11,11,12,10,12,8,-3,-3,-48,-2,5,8,5,3,3,6,1,NM
Ohio : all solar,thousand megawatthours,ELEC.GEN.TSN-OH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,137,151,173,234,272,336,400,950,1247,1800,4510,8517
Ohio : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-OH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,83,95,108,129,153,194,237,278,326,418,508,611
Ohio : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-OH-99.A,--,--,--,--,--,--,--,--,--,13,15,37,46,54,56,66,105,119,142,164,673,921,1382,4002,7906
Ohio : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-OH-99.A,--,--,--,--,--,--,--,--,--,13,15,37,46,54,56,66,105,119,142,164,673,921,1382,4002,7906
Ohio : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-OH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wisconsin,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-WI-99.A,58763,58431,60122,60445,61825,61640,63391,63480,59959,64314,63289,63751,65963,61065,66360,64967,65107,65937,62774,61449,64276,61239,62549,65276,66722
Wisconsin : coal,thousand megawatthours,ELEC.GEN.COW-WI-99.A,41253,39807,41717,42148,41729,40116,40028,41706,37280,40169,39938,32758,40645,37449,37181,33363,35852,33322,26335,23761,27442,21923,21087,20763,23350
Wisconsin : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-WI-99.A,159,109,143,161,164,136,160,96,41,35,36,39,29,52,27,27,33,36,53,19,167,31,48,64,58
Wisconsin : petroleum coke,thousand megawatthours,ELEC.GEN.PC-WI-99.A,289,313,330,634,583,741,854,835,672,684,547,279,274,267,181,120,111,101,90,86,154,145,43,3,9
Wisconsin : natural gas,thousand megawatthours,ELEC.GEN.NG-WI-99.A,2234,2076,2478,2405,6387,5358,6489,5244,5484,5497,6243,11542,8102,8054,13399,15473,13656,16799,20334,22002,21342,23276,25621,26246,23722
Wisconsin : other gases,thousand megawatthours,ELEC.GEN.OOG-WI-99.A,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wisconsin : nuclear,thousand megawatthours,ELEC.GEN.NUC-WI-99.A,11507,12449,12215,11888,9921,12234,12910,12155,12683,13281,11560,14300,11675,9447,10008,10151,9649,10129,10030,9771,9970,10077,9683,10147,10176
Wisconsin : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-WI-99.A,2056,2515,1843,1981,1740,1679,1516,1616,1394,2112,2147,1530,1979,2472,2341,2795,2657,2392,2641,2788,2145,1991,1926,2072,2187
Wisconsin : other renewables,thousand megawatthours,ELEC.GEN.AOR-WI-99.A,1102,1016,1226,1114,1182,1266,1330,1754,2340,2474,2765,3223,3192,3262,3162,2988,3122,3114,3248,2992,3032,3775,4046,5959,7196
Wisconsin : wind,thousand megawatthours,ELEC.GEN.WND-WI-99.A,72,46,98,104,93,101,109,487,1052,1088,1188,1558,1558,1618,1589,1515,1641,1638,1878,1763,1593,1816,1738,1994,1964
Wisconsin : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,3,21,40,38,93,367,805,1277,2880,4029
Wisconsin : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,3,21,40,38,93,367,805,1277,2880,4029
Wisconsin : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wisconsin : geothermal,thousand megawatthours,ELEC.GEN.GEO-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wisconsin : biomass,thousand megawatthours,ELEC.GEN.BIO-WI-99.A,1030,969,1128,1010,1089,1164,1220,1267,1288,1385,1577,1666,1634,1643,1571,1470,1460,1437,1333,1136,1072,1154,1030,1085,1204
Wisconsin : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-WI-99.A,705,645,757,605,740,774,785,775,769,878,1032,1149,1150,1101,1000,880,878,883,816,675,661,771,647,706,825
Wisconsin : other biomass,thousand megawatthours,ELEC.GEN.WAS-WI-99.A,325,324,371,405,349,390,435,492,519,508,545,517,484,542,571,590,582,554,516,460,411,383,383,379,379
Wisconsin : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wisconsin : other,thousand megawatthours,ELEC.GEN.OTH-WI-99.A,163,146,170,114,119,110,104,74,65,63,54,80,66,62,63,50,27,43,42,29,25,22,95,22,24
Wisconsin : all solar,thousand megawatthours,ELEC.GEN.TSN-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,25,29,37,77,115,139,223,549,1027,1564,3250,4442
Wisconsin : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,23,27,35,56,75,101,129,182,222,287,369,413
Wisconsin : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,3,21,40,38,93,367,805,1277,2880,4029
Wisconsin : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,3,21,40,38,93,367,805,1277,2880,4029
Wisconsin : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West North Central,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
West North Central : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-WNC-99.A,281693,294304,300682,299483,303784,305615,315346,317700,315778,332835,332902,327475,330302,338303,329479,325988,340046,353902,344147,336428,358241,376502,351225,--,--
West North Central : coal,thousand megawatthours,ELEC.GEN.COW-WNC-99.A,216729,224923,234610,231031,233193,231084,232959,234513,226707,232041,232119,214964,219787,217856,197842,182383,185041,189023,161119,141834,160100,154044,127850,--,--
West North Central : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-WNC-99.A,1090,779,1417,1193,1483,371,677,378,295,348,311,292,295,349,289,392,299,323,353,275,742,41,418,--,--
West North Central : petroleum coke,thousand megawatthours,ELEC.GEN.PC-WNC-99.A,1020,1040,795,832,685,510,457,309,140,141,91,17,72,85,46,39,43,44,77,74,29,12,2,--,--
West North Central : natural gas,thousand megawatthours,ELEC.GEN.NG-WNC-99.A,8273,7987,6574,6397,11274,11561,15523,13442,10524,13156,12000,19062,15104,11844,17472,22475,20587,29103,35005,33014,32038,31727,44054,--,--
West North Central : other gases,thousand megawatthours,ELEC.GEN.OOG-WNC-99.A,65,55,52,61,62,64,82,29,74,43,39,35,42,40,39,40,42,51,50,38,38,31,23,--,--
West North Central : nuclear,thousand megawatthours,ELEC.GEN.NUC-WNC-99.A,43099,45812,43988,46429,43027,46748,48404,45634,45523,47535,40797,41096,38429,44796,46677,45590,44983,44952,44729,42095,33871,38171,38331,--,--
West North Central : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-WNC-99.A,8695,10169,9248,9233,8193,7501,7401,8196,9951,11936,13677,11767,9450,11328,12053,10998,12829,13662,16523,13610,11481,10475,10055,--,--
West North Central : other renewables,thousand megawatthours,ELEC.GEN.AOR-WNC-99.A,2645,3307,3790,3777,5378,7365,9085,14236,21648,26420,33325,39730,46412,51532,54218,63417,75665,76235,85545,105140,119566,141512,130196,--,--
West North Central : wind,thousand megawatthours,ELEC.GEN.WND-WNC-99.A,1428,2305,2467,2632,4130,6144,7536,12454,19637,24182,31288,37561,44436,49249,51867,60923,72542,72907,82465,101616,115451,137224,125583,--,--
West North Central : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WNC-99.A,--,--,--,--,--,--,--,--,--,--,--,0,3,11,21,49,680,1181,1409,1870,2358,2590,2997,--,--
West North Central : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WNC-99.A,--,--,--,--,--,--,--,--,--,--,--,0,3,11,21,49,680,1181,1408,1870,2358,2590,2997,--,--
West North Central : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WNC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--
West North Central : geothermal,thousand megawatthours,ELEC.GEN.GEO-WNC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West North Central : biomass,thousand megawatthours,ELEC.GEN.BIO-WNC-99.A,1217,1001,1323,1145,1248,1220,1549,1782,2011,2238,2037,2169,1973,2271,2330,2445,2443,2147,1671,1654,1757,1698,1616,--,--
West North Central : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-WNC-99.A,575,378,657,653,656,590,728,727,799,933,748,839,1043,1183,1208,1266,1354,1166,894,873,1005,961,904,--,--
West North Central : other biomass,thousand megawatthours,ELEC.GEN.WAS-WNC-99.A,642,624,666,493,591,631,821,1055,1212,1306,1289,1330,930,1088,1121,1179,1089,980,778,781,752,737,712,--,--
West North Central : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-WNC-99.A,-266,-159,-254,115,86,48,383,545,567,888,114,33,296,19,348,179,100,47,337,-22,1,165,-49,--,--
West North Central : other,thousand megawatthours,ELEC.GEN.OTH-WNC-99.A,344,390,462,414,405,363,374,418,349,327,428,478,415,455,495,474,458,463,409,371,373,324,344,--,--
West North Central : all solar,thousand megawatthours,ELEC.GEN.TSN-WNC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,172,240,325,1055,1660,2022,2650,3310,3796,4586,--,--
West North Central : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-WNC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,161,219,276,376,478,613,780,952,1206,1589,--,--
West North Central : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WNC-99.A,--,--,--,--,--,--,--,--,--,--,--,0,3,11,21,49,680,1181,1409,1870,2358,2590,2997,--,--
West North Central : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WNC-99.A,--,--,--,--,--,--,--,--,--,--,--,0,3,11,21,49,680,1181,1408,1870,2358,2590,2997,--,--
West North Central : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WNC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--
Iowa,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-IA-99.A,40659,42528,42116,43248,44156,45483,49789,53087,51860,57509,56372,56675,56671,56853,56659,54393,57910,63381,62650,59637,67207,72982,69837,70464,74232
Iowa : coal,thousand megawatthours,ELEC.GEN.COW-IA-99.A,34665,35372,35820,35272,34252,34405,37986,40410,37351,41283,38229,35331,33302,33733,29811,25198,25358,28553,22159,14147,22107,18172,16414,14464,19108
Iowa : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-IA-99.A,99,58,93,75,143,107,179,80,55,80,69,89,69,59,64,239,104,67,63,37,103,82,62,43,64
Iowa : petroleum coke,thousand megawatthours,ELEC.GEN.PC-IA-99.A,4,6,8,33,7,102,133,81,30,75,72,18,72,85,46,39,43,44,77,74,29,12,2,5,4
Iowa : natural gas,thousand megawatthours,ELEC.GEN.NG-IA-99.A,593,555,313,825,2481,2400,3091,2163,1184,1312,991,1941,1430,1373,2398,2961,4567,7340,7782,7037,6464,7339,10241,9765,8688
