description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Massachusetts : commercial,million kilowatthours,ELEC.SALES.MA-COM.A,24127,24250,25648,26020,26415,26237,27148,26582,17775,18243,17767,17723,17713,26076,26200,25934,25968,25952,25337,23121,23832,24444,24276,23489,24601
Massachusetts : industrial,million kilowatthours,ELEC.SALES.MA-IND.A,9757,10087,9984,9947,9871,9602,9450,9332,16754,17116,16974,16927,16463,7961,7892,7507,6859,6699,6342,6220,6346,6234,6091,5645,5968
Massachusetts : transportation,million kilowatthours,ELEC.SALES.MA-TRA.A,--,--,292,406,402,386,403,332,356,355,357,350,361,361,353,342,348,349,343,323,315,299,279,291,300
Massachusetts : other,million kilowatthours,ELEC.SALES.MA-OTH.A,629,676,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire,million kilowatthours,ELEC.SALES.NH-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire : all sectors,million kilowatthours,ELEC.SALES.NH-ALL.A,10316,10383,10973,10973,11245,11094,11236,10977,10698,10890,10869,10870,11043,10944,10999,10905,10787,11046,10712,10694,10867,10818,10631,10914,11104
New Hampshire : residential,million kilowatthours,ELEC.SALES.NH-RES.A,3789,4003,4252,4282,4495,4401,4493,4394,4422,4485,4454,4439,4554,4510,4527,4438,4441,4641,4507,4790,4832,4808,4655,4847,5046
New Hampshire : commercial,million kilowatthours,ELEC.SALES.NH-COM.A,3911,4024,4318,4363,4576,4563,4570,4518,4441,4462,4478,4478,4517,4465,4491,4466,4390,4443,4281,4030,4107,4085,4051,4105,4149
New Hampshire : industrial,million kilowatthours,ELEC.SALES.NH-IND.A,2483,2222,2403,2328,2174,2131,2173,2065,1836,1942,1936,1953,1973,1969,1981,2000,1956,1963,1924,1873,1929,1925,1926,1961,1909
New Hampshire : transportation,million kilowatthours,ELEC.SALES.NH-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire : other,million kilowatthours,ELEC.SALES.NH-OTH.A,133,134,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island,million kilowatthours,ELEC.SALES.RI-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island : all sectors,million kilowatthours,ELEC.SALES.RI-ALL.A,7393,7561,7797,7888,8049,7799,8013,7819,7618,7799,7732,7708,7781,7643,7665,7524,7385,7583,7350,7352,7398,7576,7301,7414,7404
Rhode Island : residential,million kilowatthours,ELEC.SALES.RI-RES.A,2699,2829,2998,3000,3171,3008,3132,3043,2937,3118,3129,3121,3165,3070,3136,3082,3028,3124,2983,3148,3132,3168,2995,3111,3134
Rhode Island : commercial,million kilowatthours,ELEC.SALES.RI-COM.A,3240,3316,3490,3542,3628,3599,3710,3700,3691,3693,3660,3640,3667,3658,3705,3651,3603,3698,3644,3551,3605,3746,3651,3666,3617
Rhode Island : industrial,million kilowatthours,ELEC.SALES.RI-IND.A,1386,1331,1309,1345,1250,1191,1171,1075,990,961,916,923,923,887,799,764,726,735,695,635,644,639,629,615,628
Rhode Island : transportation,million kilowatthours,ELEC.SALES.RI-TRA.A,--,--,0,0,0,0,0,0,0,27,27,24,26,28,26,27,28,27,27,18,18,23,26,22,25
Rhode Island : other,million kilowatthours,ELEC.SALES.RI-OTH.A,68,85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont,million kilowatthours,ELEC.SALES.VT-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont : all sectors,million kilowatthours,ELEC.SALES.VT-ALL.A,5585,5629,5352,5664,5883,5795,5864,5741,5497,5595,5550,5511,5588,5570,5521,5516,5424,5531,5428,5331,5413,5470,5364,5459,5473
Vermont : residential,million kilowatthours,ELEC.SALES.VT-RES.A,2009,2047,2011,2109,2189,2142,2170,2133,2122,2128,2125,2095,2125,2121,2089,2056,2023,2116,2082,2157,2174,2187,2176,2230,2225
Vermont : commercial,million kilowatthours,ELEC.SALES.VT-COM.A,1926,1946,1881,1978,2051,2027,2059,2043,1991,2021,2009,1994,2017,2031,2011,2014,1977,2004,1934,1806,1867,1916,1904,1952,1979
Vermont : industrial,million kilowatthours,ELEC.SALES.VT-IND.A,1608,1592,1460,1577,1644,1626,1635,1565,1383,1446,1417,1422,1446,1418,1422,1446,1424,1411,1412,1369,1371,1367,1284,1277,1269
Vermont : transportation,million kilowatthours,ELEC.SALES.VT-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont : other,million kilowatthours,ELEC.SALES.VT-OTH.A,42,45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Middle Atlantic,million kilowatthours,ELEC.SALES.MAT-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlantic : all sectors,million kilowatthours,ELEC.SALES.MAT-ALL.A,352630,361863,360796,366176,380317,368069,381685,374973,359562,372767,369664,362925,368791,367926,370747,368490,361366,374923,365097,352126,357834,362698,349230,356175,359872
Middle Atlantic : residential,million kilowatthours,ELEC.SALES.MAT-RES.A,115757,122358,124134,126062,134168,128838,134580,132205,128985,136506,135434,132231,133574,132063,134574,133799,128567,137580,133150,137241,138192,138703,130856,134823,138546
Middle Atlantic : commercial,million kilowatthours,ELEC.SALES.MAT-COM.A,135804,140332,152329,156807,162366,161090,162734,165332,161135,164765,159059,157278,157718,158043,159474,158715,155927,158774,153246,139685,143046,146799,143307,146688,148557
Middle Atlantic : industrial,million kilowatthours,ELEC.SALES.MAT-IND.A,85540,83713,80733,79544,79759,74227,79805,73353,65218,67367,71039,69507,73520,73837,72804,72130,73044,74601,74961,71953,73484,73814,71544,70987,68893
Middle Atlantic : transportation,million kilowatthours,ELEC.SALES.MAT-TRA.A,--,--,3600,3763,4025,3914,4566,4083,4223,4130,4131,3910,3979,3983,3896,3846,3828,3968,3740,3246,3112,3382,3523,3678,3875
Middle Atlantic : other,million kilowatthours,ELEC.SALES.MAT-OTH.A,15529,15459,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Jersey,million kilowatthours,ELEC.SALES.NJ-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey : all sectors,million kilowatthours,ELEC.SALES.NJ-ALL.A,73177,74603,76383,77593,81897,79681,81934,80520,75780,79179,76860,75053,74642,73866,75490,75359,73383,76017,73917,71998,73070,74443,71097,73531,73064
New Jersey : residential,million kilowatthours,ELEC.SALES.NJ-RES.A,25491,27171,27367,28020,29973,28622,29752,29111,27833,30307,29399,28663,28545,27893,29142,29091,27762,29531,28613,29677,30090,30062,28415,29693,30056
New Jersey : commercial,million kilowatthours,ELEC.SALES.NJ-COM.A,34445,35429,36616,38074,39762,39437,40876,40570,39377,40123,39118,38340,38231,38154,38723,38672,37971,38807,38013,35316,36137,37374,36083,37087,36512
New Jersey : industrial,million kilowatthours,ELEC.SALES.NJ-IND.A,12707,11476,12215,11210,11862,11331,11013,10537,8250,8429,8033,7762,7566,7517,7320,7293,7343,7369,6990,6735,6593,6754,6224,6351,6088
New Jersey : transportation,million kilowatthours,ELEC.SALES.NJ-TRA.A,--,--,184,290,299,291,293,302,320,321,310,287,301,303,304,303,307,310,301,270,249,253,375,401,408
New Jersey : other,million kilowatthours,ELEC.SALES.NJ-OTH.A,534,526,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New York,million kilowatthours,ELEC.SALES.NY-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
New York : all sectors,million kilowatthours,ELEC.SALES.NY-ALL.A,144181,147440,144045,145082,150148,142238,148178,144053,140034,144624,144047,143163,147895,147372,148914,147803,144992,149930,145600,140407,141424,143211,139422,140498,143490
New York : residential,million kilowatthours,ELEC.SALES.NY-RES.A,44236,46457,47116,47379,50533,48427,50241,49034,48246,50946,51240,50692,50777,49975,51013,50831,49081,52153,50141,52257,52157,52227,50113,50857,52406
New York : commercial,million kilowatthours,ELEC.SALES.NY-COM.A,60806,62271,72495,74378,76822,76029,74326,77416,75347,77276,76406,76018,76342,76541,77006,76507,75333,76745,75091,68989,69920,72206,71422,71053,71885
New York : industrial,million kilowatthours,ELEC.SALES.NY-IND.A,25450,25148,21745,20675,19947,14976,20213,14685,13417,13480,13420,13705,17911,18003,18079,17709,17811,18077,17548,16610,16891,16178,15174,15805,16270
New York : transportation,million kilowatthours,ELEC.SALES.NY-TRA.A,--,--,2689,2650,2846,2806,3397,2918,3025,2922,2981,2748,2864,2853,2816,2756,2767,2954,2820,2550,2455,2600,2713,2782,2930
New York : other,million kilowatthours,ELEC.SALES.NY-OTH.A,13689,13565,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pennsylvania,million kilowatthours,ELEC.SALES.PA-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania : all sectors,million kilowatthours,ELEC.SALES.PA-ALL.A,135272,139820,140369,143501,148273,146150,151573,150401,143747,148964,148757,144710,146254,146688,146344,145328,142991,148977,145580,139721,143340,145045,138711,142147,143317
Pennsylvania : residential,million kilowatthours,ELEC.SALES.PA-RES.A,46030,48730,49651,50663,53661,51790,54587,54060,52906,55253,54796,52876,54252,54195,54419,53877,51724,55896,54396,55307,55945,56413,52328,54273,56084
Pennsylvania : commercial,million kilowatthours,ELEC.SALES.PA-COM.A,40553,42632,43218,44355,45782,45624,47531,47347,46411,47366,43536,42920,43145,43348,43745,43535,42623,43222,40143,35381,36988,37219,35802,38548,40160
Pennsylvania : industrial,million kilowatthours,ELEC.SALES.PA-IND.A,47383,47090,46773,47659,47950,47920,48579,48131,43552,45458,49585,48039,48043,48318,47404,47128,47889,49155,50423,48607,50000,50883,50147,48831,46535
Pennsylvania : transportation,million kilowatthours,ELEC.SALES.PA-TRA.A,--,--,727,823,880,816,876,863,879,887,840,875,814,827,776,787,755,703,619,425,407,530,434,495,538
Pennsylvania : other,million kilowatthours,ELEC.SALES.PA-OTH.A,1306,1368,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
East North Central,million kilowatthours,ELEC.SALES.ENC-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
East North Central : all sectors,million kilowatthours,ELEC.SALES.ENC-ALL.A,557193,564996,565024,571151,592492,579380,597844,586893,546708,577302,577115,574809,569762,571971,563527,569557,553784,575593,559352,536700,552387,555931,539367,553436,571114
East North Central : residential,million kilowatthours,ELEC.SALES.ENC-RES.A,171309,183373,178542,179231,194679,186445,194798,190445,182553,195096,191617,188641,188046,187958,183153,187898,179275,193825,186187,190311,192188,191773,179525,185595,192583
East North Central : commercial,million kilowatthours,ELEC.SALES.ENC-COM.A,161762,160983,172186,173610,182907,182656,188477,186098,179734,183452,183359,183333,182798,182860,183420,185751,181770,185278,180212,168614,174951,177245,174691,180205,190871
East North Central : industrial,million kilowatthours,ELEC.SALES.ENC-IND.A,207503,204311,213787,217797,214308,209694,213952,209712,183829,198133,201563,202221,198273,200505,196364,195324,192154,195875,192318,177267,184734,186406,184688,187138,187054
East North Central : transportation,million kilowatthours,ELEC.SALES.ENC-TRA.A,--,--,508,514,598,584,617,638,592,621,576,614,645,648,589,585,586,615,636,508,513,507,463,498,606
East North Central : other,million kilowatthours,ELEC.SALES.ENC-OTH.A,16620,16329,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Illinois,million kilowatthours,ELEC.SALES.IL-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois : all sectors,million kilowatthours,ELEC.SALES.IL-ALL.A,136034,138447,136248,139254,144986,142448,146055,144620,136688,144761,142886,143540,141805,141540,138620,141050,137196,142655,138319,132469,135689,135872,130578,133227,135395
Illinois : residential,million kilowatthours,ELEC.SALES.IL-RES.A,41820,45030,43161,43443,48593,46381,48036,46780,44324,48583,47057,46902,46372,46009,44646,45990,43717,47226,45220,46171,46813,46479,43320,44851,46618
Illinois : commercial,million kilowatthours,ELEC.SALES.IL-COM.A,43135,44244,49561,47358,49977,50631,52043,51770,50329,51437,50468,50808,50473,50619,50320,50910,49988,50763,49279,45487,46923,47120,45576,45240,46349
Illinois : industrial,million kilowatthours,ELEC.SALES.IL-IND.A,40780,39288,43042,48008,45888,44916,45430,45503,41507,44180,44844,45277,44387,44330,43131,43632,42971,44115,43250,40362,41498,41818,41267,42694,41885
Illinois : transportation,million kilowatthours,ELEC.SALES.IL-TRA.A,--,--,484,445,528,519,545,566,527,560,516,553,573,582,524,519,520,551,570,450,455,455,415,442,543
Illinois : other,million kilowatthours,ELEC.SALES.IL-OTH.A,10298,9886,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana,million kilowatthours,ELEC.SALES.IN-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana : all sectors,million kilowatthours,ELEC.SALES.IN-ALL.A,97734,101429,100468,103094,106549,105664,109420,106981,99312,105994,105818,105173,105487,106943,104515,103705,98966,104194,102104,97156,99740,100044,95995,99220,103487
Indiana : residential,million kilowatthours,ELEC.SALES.IN-RES.A,29420,31568,30726,31192,33629,32286,34646,33980,32548,35058,33912,32964,33407,33704,32442,33026,31552,34575,33249,32878,33472,34058,31739,33049,34492
Indiana : commercial,million kilowatthours,ELEC.SALES.IN-COM.A,25551,21790,22441,22957,23959,23830,24768,24570,23689,24365,24111,24022,24252,24130,24022,24229,23657,24305,23518,21996,22921,23494,23016,23664,25513
Indiana : industrial,million kilowatthours,ELEC.SALES.IN-IND.A,42080,47481,47284,48928,48944,49530,49988,48411,43055,46552,47774,48168,47808,49088,48030,46429,43737,45293,45317,42263,43329,42480,41229,42489,43461
Indiana : transportation,million kilowatthours,ELEC.SALES.IN-TRA.A,--,--,16,17,17,18,19,20,20,20,21,20,21,21,21,21,20,21,21,18,18,13,11,18,22
Indiana : other,million kilowatthours,ELEC.SALES.IN-OTH.A,684,589,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michigan,million kilowatthours,ELEC.SALES.MI-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan : all sectors,million kilowatthours,ELEC.SALES.MI-ALL.A,102409,104714,108877,106606,110445,108018,109297,105781,98121,103649,105054,104818,103038,103314,102480,104468,101899,104869,101249,97012,99813,100639,97589,98991,100118
Michigan : residential,million kilowatthours,ELEC.SALES.MI-RES.A,32305,34336,33669,33104,36095,34622,35366,34297,32854,34681,34811,34461,34013,33515,33358,34543,32977,35131,33496,35863,35868,35035,32534,33505,34549
Michigan : commercial,million kilowatthours,ELEC.SALES.MI-COM.A,35025,35880,35391,38632,39600,39299,40047,38974,37870,38123,38613,38514,37698,37349,38441,38986,38325,38925,37861,35491,36861,37114,36534,37191,37423
Michigan : industrial,million kilowatthours,ELEC.SALES.MI-IND.A,34174,33537,39813,34867,34745,34093,33879,32505,27391,30841,31624,31836,31322,32446,30677,30934,30591,30806,29886,25654,27081,28486,28515,28290,28141
Michigan : transportation,million kilowatthours,ELEC.SALES.MI-TRA.A,--,--,3,3,5,4,5,5,5,5,5,7,6,4,4,4,6,7,6,4,3,4,5,5,6
Michigan : other,million kilowatthours,ELEC.SALES.MI-OTH.A,905,960,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio,million kilowatthours,ELEC.SALES.OH-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio : all sectors,million kilowatthours,ELEC.SALES.OH-ALL.A,155798,153407,152189,154221,160176,153429,161771,159389,146300,154145,154746,152457,150307,150680,149213,150598,146644,152915,148522,142615,147718,149500,146641,153707,161934
Ohio : residential,million kilowatthours,ELEC.SALES.OH-RES.A,47346,50864,49621,50300,53904,51375,54376,53411,51405,54474,53687,52288,52158,52804,51493,52524,49796,54452,52226,52553,53171,53312,49714,52174,53997
Ohio : commercial,million kilowatthours,ELEC.SALES.OH-COM.A,39372,39924,44737,45313,46870,46141,48129,47310,45370,46526,47112,46756,46718,47005,47124,47742,46158,47192,46009,43204,44980,46091,46351,50814,57756
Ohio : industrial,million kilowatthours,ELEC.SALES.OH-IND.A,65099,58472,57828,58558,59354,55869,59219,58621,49486,53109,53913,53379,51387,50829,50557,50291,50651,51236,50249,46823,49529,50063,50546,50688,50147
Ohio : transportation,million kilowatthours,ELEC.SALES.OH-TRA.A,--,--,5,49,48,44,48,47,39,36,34,34,44,42,40,41,39,36,38,35,37,34,30,32,34
Ohio : other,million kilowatthours,ELEC.SALES.OH-OTH.A,3981,4148,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wisconsin,million kilowatthours,ELEC.SALES.WI-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin : all sectors,million kilowatthours,ELEC.SALES.WI-ALL.A,65218,66999,67241,67976,70336,69821,71301,70122,66286,68752,68612,68820,69124,69495,68699,69736,69079,70960,69158,67448,69427,69876,68564,68291,70180
